Z	1	50000	24709	1196	0.115	0.0633	0.0831	-0.0382
Z	50001	100000	75657	1081	0.1038	0.0749	0.0793	-0.0655
Z	100001	150000	123795	964	0.0715	0.0879	0.0708	-0.065
Z	150001	200000	173837	827	0.113	0.1146	0.1028	-0.0557
Z	200001	250000	225710	650	0.0529	0.0924	0.0665	-0.0485
Z	250001	300000	276060	1103	0.0776	0.0753	0.0691	-0.0553
Z	300001	350000	326696	1218	0.1553	0.155	0.1373	-0.0671
Z	350001	400000	372636	952	0.0724	0.0701	0.0644	-0.0552
Z	400001	450000	428691	786	0.0968	0.0989	0.0884	-0.0555
Z	450001	500000	473098	927	0.0713	0.0798	0.0686	-0.0533
Z	500001	550000	525799	790	0.0708	0.0698	0.0642	-0.0499
Z	550001	600000	576801	809	0.1508	0.122	0.1323	-0.0167
Z	600001	650000	626211	1095	0.1013	0.0924	0.0903	-0.0384
Z	650001	700000	674845	1038	0.123	0.0565	0.0831	-0.0424
Z	700001	750000	725126	966	0.1055	0.0364	0.0701	-0.0065
Z	750001	800000	773982	1045	0.1828	0.108	0.1433	-0.0079
Z	800001	850000	825831	956	0.1389	0.0708	0.1057	0.0045
Z	850001	900000	875859	930	0.1577	0.0868	0.1219	-0.0016
Z	900001	950000	923706	928	0.1785	0.1197	0.1505	0.0049
Z	950001	1000000	974948	960	0.1796	0.161	0.1598	-0.0347
Z	1000001	1050000	1026463	1134	0.1726	0.1459	0.1548	-0.0155
Z	1050001	1100000	1075025	958	0.1618	0.1368	0.1339	-0.0597
Z	1100001	1150000	1127010	925	0.1952	0.1291	0.1606	-0.0052
Z	1150001	1200000	1175318	963	0.1207	0.1293	0.1206	-0.0199
Z	1200001	1250000	1225110	901	0.1497	0.1413	0.1267	-0.0759
Z	1250001	1300000	1275668	905	0.1484	0.1393	0.1262	-0.0717
Z	1300001	1350000	1326400	1048	0.1159	0.1108	0.1062	-0.0359
Z	1350001	1400000	1375478	1009	0.0969	0.1342	0.1061	-0.0466
Z	1400001	1450000	1424825	1040	0.1273	0.0983	0.1064	-0.0321
Z	1450001	1500000	1474912	957	0.1134	0.0985	0.097	-0.0485
Z	1500001	1550000	1523723	765	0.1071	0.0901	0.0995	0.0053
Z	1550001	1600000	1575477	854	0.1511	0.137	0.1355	-0.0333
Z	1600001	1650000	1624904	825	0.1147	0.1033	0.0955	-0.0721
Z	1650001	1700000	1674908	850	0.0666	0.0671	0.0579	-0.0788
Z	1700001	1750000	1725191	798	0.1006	0.1032	0.0903	-0.0663
Z	1750001	1800000	1775999	1000	0.1616	0.1648	0.1518	-0.0397
Z	1800001	1850000	1824388	873	0.1718	0.1785	0.1625	-0.0412
Z	1850001	1900000	1876144	1004	0.0902	0.1138	0.0975	-0.0244
Z	1900001	1950000	1923310	921	0.0647	0.1029	0.0786	-0.0349
Z	1950001	2000000	1973974	860	0.059	0.0936	0.0682	-0.0615
Z	2000001	2050000	2024920	849	0.0776	0.1042	0.0799	-0.0709
Z	2050001	2100000	2074253	911	0.0554	0.1231	0.0872	-0.0128
Z	2100001	2150000	2125188	847	0.0973	0.1712	0.1336	-0.0029
Z	2150001	2200000	2174343	1157	0.0449	0.0819	0.0611	-0.0202
Z	2200001	2250000	2225333	1091	0.0309	0.0418	0.032	-0.07
Z	2250001	2300000	2275445	1093	0.0061	0.0091	0.0068	-0.061
Z	2300001	2350000	2322495	784	0.0106	0.0349	0.0218	-0.0239
Z	2350001	2400000	2375447	867	0.0049	0.0537	0.033	0.0646
Z	2400001	2450000	2423745	724	0.0528	0.0633	0.0542	-0.0369
Z	2450001	2500000	2475465	820	0.075	0.0928	0.0763	-0.0521
Z	2500001	2550000	2525755	684	0.0678	0.0653	0.0585	-0.0704
Z	2550001	2600000	2574794	716	0.1288	0.1368	0.1162	-0.073
Z	2600001	2650000	2622221	635	0.115	0.1342	0.1104	-0.0664
Z	2650001	2700000	2674881	543	0.1156	0.1582	0.1361	-0.0031
Z	2700001	2750000	2724849	617	0.0904	0.1049	0.0925	-0.0293
Z	2750001	2800000	2775175	651	0.1145	0.1501	0.1312	-0.0047
Z	2800001	2850000	2825589	621	0.0869	0.133	0.1123	0.0116
Z	2850001	2900000	2876586	738	0.1359	0.1925	0.166	0.0059
Z	2900001	2950000	2925927	962	0.0802	0.1359	0.1085	0.0025
Z	2950001	3000000	2973787	779	0.0805	0.1419	0.1138	0.0126
Z	3000001	3050000	3024901	735	0.0319	0.1206	0.0845	0.0559
Z	3050001	3100000	3076586	752	0.0783	0.1584	0.1274	0.0404
Z	3100001	3150000	3124321	581	0.1184	0.2013	0.1673	0.0247
Z	3150001	3200000	3171890	569	0.099	0.1237	0.1126	0.0059
Z	3200001	3250000	3225054	566	0.0676	0.1068	0.0916	0.0267
Z	3250001	3300000	3273629	607	0.0885	0.0864	0.0854	-0.0132
Z	3300001	3350000	3327637	648	0.1936	0.2097	0.2013	-0.0011
Z	3350001	3400000	3372437	584	0.1688	0.18	0.1725	-0.0059
Z	3400001	3450000	3424772	577	0.1332	0.1407	0.1347	-0.009
Z	3450001	3500000	3474828	656	0.1491	0.1567	0.1483	-0.0167
Z	3500001	3550000	3525140	726	0.1495	0.156	0.1523	-0.0019
Z	3550001	3600000	3574743	602	0.1668	0.1769	0.1704	-0.0045
Z	3600001	3650000	3624683	594	0.1852	0.1945	0.1837	-0.0181
Z	3650001	3700000	3675962	543	0.1202	0.1392	0.1324	0.0111
Z	3700001	3750000	3725262	661	0.1063	0.1084	0.1027	-0.0244
