H2_H3_H1	893643	922066	-0.01565394	-0.01565394	0.006893983	-2.270667	
H2_H3_H1	893891	925723	-0.01749382	-0.01749382	0.006739504	-2.595713	
H2_H3_H1	918832	903591	0.008363042	0.008363042	0.006709116	1.246519	
H2_H3_H1	913094	888162	0.01384145	0.01384145	0.006679742	2.072154	
H2_H3_H1	911743	893939	0.009859986	0.009859986	0.006594008	1.495295	
H2_H3_H1	883180	915296	-0.01785734	-0.01785734	0.006854988	-2.605014	
H2_H3_H1	849393	889505	-0.02306748	-0.02306748	0.006816839	-3.383897	
H2_H3_H1	893723	918336	-0.01358289	-0.01358289	0.006789865	-2.000466	
H2_H3_H1	898431	920317	-0.01203355	-0.01203355	0.00699779	-1.719622	
H2_H3_H1	897392	920816	-0.01288301	-0.01288301	0.006971003	-1.848086	
H2_H3_H1	899433	926161	-0.01464071	-0.01464071	0.006774475	-2.161159	
H2_H3_H1	922816	902407	0.01118165	0.01118165	0.006768029	1.652128	
H2_H3_H1	915678	885852	0.01655593	0.01655593	0.006721464	2.463143	
H2_H3_H1	916694	893846	0.01261944	0.01261944	0.006678245	1.889634	
H2_H3_H1	888298	915377	-0.01501324	-0.01501324	0.006918839	-2.169907	
H2_H3_H1	854937	889775	-0.01996777	-0.01996777	0.006841469	-2.918637	
H2_H3_H1	898547	917761	-0.0105786	-0.0105786	0.006852639	-1.543727	
H2_H3_H1	902952	919756	-0.00921925	-0.00921925	0.007039031	-1.309733	
H2_H3_H1	891020	921265	-0.01668888	-0.01668888	0.006869635	-2.429369	
H2_H3_H1	891106	924576	-0.01843384	-0.01843384	0.006692381	-2.754452	
H2_H3_H1	916557	903160	0.007362134	0.007362134	0.006647712	1.107469	
H2_H3_H1	909936	886655	0.01295843	0.01295843	0.006625462	1.955853	
H2_H3_H1	909812	893431	0.009084189	0.009084189	0.006550081	1.386882	
H2_H3_H1	879719	913685	-0.0189394	-0.0189394	0.006792058	-2.788463	
H2_H3_H1	844410	886239	-0.02416955	-0.02416955	0.006701447	-3.606616	
H2_H3_H1	890062	916537	-0.01465461	-0.01465461	0.00669347	-2.189389	
H2_H3_H1	894339	918119	-0.0131203	-0.0131203	0.006915583	-1.897209	
H2_H3_H1	904491	915144	-0.005854471	-0.005854471	0.007041305	-0.8314468	
H2_H3_H1	904763	918948	-0.007778096	-0.007778096	0.006884922	-1.129729	
H2_H3_H1	934428	901332	0.0180285	0.0180285	0.006871141	2.6238	
H2_H3_H1	922950	880189	0.02371476	0.02371476	0.0068327	3.470774	
H2_H3_H1	925639	889780	0.01975246	0.01975246	0.006809982	2.900516	
H2_H3_H1	890913	905610	-0.008180803	-0.008180803	0.006973455	-1.173135	
H2_H3_H1	850930	873758	-0.01323602	-0.01323602	0.006812574	-1.94288	
H2_H3_H1	904375	911404	-0.003871066	-0.003871066	0.006965676	-0.5557344	
H2_H3_H1	909530	913864	-0.002376886	-0.002376886	0.007100405	-0.3347536	
H2_H3_H1	901051	911814	-0.005937011	-0.005937011	0.006946412	-0.8546874	
H2_H3_H1	899162	912617	-0.007426402	-0.007426402	0.006776817	-1.095854	
H2_H3_H1	928480	894225	0.0187935	0.0187935	0.006759933	2.780131	
H2_H3_H1	918447	875149	0.02414033	0.02414033	0.006813282	3.543128	
H2_H3_H1	920935	883824	0.02056286	0.02056286	0.006702441	3.067965	
H2_H3_H1	891090	905931	-0.008258668	-0.008258668	0.006943231	-1.189456	
H2_H3_H1	849995	872177	-0.01288025	-0.01288025	0.006749575	-1.908305	
H2_H3_H1	900473	906363	-0.003259842	-0.003259842	0.00687296	-0.4742996	
H2_H3_H1	904320	907269	-0.001627853	-0.001627853	0.006943496	-0.2344428	
H2_H3_H1	904236	912630	-0.004620044	-0.004620044	0.007024401	-0.6577136	
H2_H3_H1	906011	916870	-0.005957054	-0.005957054	0.006879753	-0.8658819	
H2_H3_H1	932691	895961	0.02008583	0.02008583	0.006826716	2.94224	
H2_H3_H1	921410	876355	0.02506167	0.02506167	0.006834899	3.666722	
H2_H3_H1	922643	883472	0.02168799	0.02168799	0.006729705	3.222725	
H2_H3_H1	893440	905421	-0.006660326	-0.006660326	0.007009557	-0.9501778	
H2_H3_H1	851731	871281	-0.01134641	-0.01134641	0.006863733	-1.653096	
H2_H3_H1	905732	909543	-0.002099406	-0.002099406	0.006948879	-0.3021216	
H2_H3_H1	909230	909684	-0.0002495995	-0.0002495995	0.007003907	-0.03563718	
H2_H3_H1	901394	914158	-0.007030369	-0.007030369	0.006955323	-1.01079	
H2_H3_H1	902264	913140	-0.005990953	-0.005990953	0.006893339	-0.869093	
H2_H3_H1	924712	897508	0.01492904	0.01492904	0.006708701	2.225325	
H2_H3_H1	917576	880530	0.02060279	0.02060279	0.006634945	3.105194	
H2_H3_H1	915717	887718	0.01552537	0.01552537	0.006625867	2.343146	
H2_H3_H1	889071	904775	-0.008754375	-0.008754375	0.006903765	-1.268058	
H2_H3_H1	855617	880225	-0.01417641	-0.01417641	0.006779122	-2.091186	
H2_H3_H1	902781	911486	-0.004798081	-0.004798081	0.00689868	-0.6955071	
H2_H3_H1	901620	914990	-0.007359863	-0.007359863	0.007008017	-1.050206	
H2_H3_H1	901153	914428	-0.007311709	-0.007311709	0.007011334	-1.042841	
H2_H3_H1	903416	914858	-0.006292781	-0.006292781	0.00693238	-0.9077375	
H2_H3_H1	925698	899019	0.0146209	0.0146209	0.006779222	2.156722	
H2_H3_H1	917292	880701	0.02035102	0.02035102	0.006697573	3.038567	
H2_H3_H1	916526	889137	0.01516839	0.01516839	0.006688324	2.267891	
