scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,3600001,3650000,3624683,594,242,3.3622,1.9665,0.2619,0.2056,0.0355
Z,3650001,3700000,3675962,543,240,18.6946,2.1966,0.7897,0.6665,0.4524
Z,3700001,3750000,3725262,661,242,15.4606,10.0186,0.2136,0.3568,0.1466
Z,3750001,3800000,3772933,791,265,23.9243,8.109,0.4937,0.5638,0.3193
Z,3800001,3850000,3826716,802,337,27.1099,7.5812,0.5629,0.8041,0.2188
Z,3850001,3900000,3874214,665,240,16.7272,4.5128,0.5751,0.5383,0.2564
Z,3900001,3950000,3923410,621,186,13.1678,2.4815,0.6829,0.3772,0.2103
Z,3950001,4000000,3977324,607,270,8.0131,11.4412,-0.1762,-0.2034,-0.069
Z,4000001,4050000,4022605,793,305,6.1063,9.5884,-0.2219,-0.2532,-0.1018
Z,4050001,4100000,4072379,604,286,4.2832,6.7929,-0.2266,-0.156,-0.0634
Z,4100001,4150000,4123829,536,233,3.0261,3.0376,-0.0019,-0.0006,-0.0003
Z,4150001,4200000,4174439,475,176,3.4901,0.8821,0.5965,0.1837,0.0687
Z,4200001,4250000,4225153,519,196,19.163,2.0557,0.8062,0.501,0.3892
Z,4250001,4300000,4273021,580,236,1.6941,2.409,-0.1742,-0.0318,-0.0194
Z,4300001,4350000,4323943,452,172,2.0288,2.1489,-0.0287,-0.0106,-0.0061
Z,4350001,4400000,4376270,474,139,1.7631,3.1829,-0.2871,-0.463,-0.1253
Z,4400001,4450000,4422323,482,170,0.6279,5.7461,-0.803,-2.5892,-0.296
Z,4450001,4500000,4477378,350,108,0.3166,1.2701,-0.6009,-0.1511,-0.0805
Z,4500001,4550000,4527018,430,200,3.5056,3.0506,0.0694,0.0296,0.0136
Z,4550001,4600000,4576781,513,176,6.3543,1.7448,0.5691,0.3216,0.2009
Z,4600001,4650000,4624943,524,159,1.2969,0.0156,0.9762,0.207,0.1355
Z,4650001,4700000,4673376,544,159,0.4095,0.4443,-0.0407,-0.0143,-0.0035
Z,4700001,4750000,4725266,419,93,0.5425,0.396,0.156,0.0525,0.0266
Z,4750001,4800000,4775153,402,117,0.311,0.0742,0.615,0.0889,0.0356
Z,4800001,4850000,4825677,430,137,0.3944,1.4075,-0.5622,-0.214,-0.0986
Z,4850001,4900000,4874219,503,79,0.2897,0.2701,0.0351,0.0179,0.0095
Z,4900001,4950000,4926060,398,120,1.5417,0.1981,0.7722,0.5069,0.0428
Z,4950001,5000000,4975125,388,128,3.1535,7.7048,-0.4192,-0.6391,-0.1507
Z,5000001,5050000,5027455,420,112,1.2508,0.4028,0.5128,1.7471,0.0335
Z,5050001,5100000,5075484,402,73,0.1294,0.7731,-0.7133,3.3542,-0.0512
Z,5100001,5150000,5126434,384,62,0.5106,0.864,-0.2571,-0.4363,-0.0662
Z,5150001,5200000,5174475,412,89,3.3947,1.3259,0.4383,0.3484,0.1662
Z,5200001,5250000,5224295,448,137,1.8508,1.683,0.0475,0.0129,0.0036
Z,5250001,5300000,5274767,448,106,0.6782,0.7932,-0.0782,-0.2413,-0.0032
Z,5300001,5350000,5325387,515,196,8.7553,0.2222,0.9505,0.4343,0.1972
Z,5350001,5400000,5375265,391,143,2.1274,0.5628,0.5816,0.1861,0.0452
Z,5400001,5450000,5424451,523,220,3.0423,0.649,0.6484,0.2133,0.0349
Z,5450001,5500000,5474488,324,137,3.2565,0.066,0.9603,0.2201,0.147
Z,5500001,5550000,5525862,332,141,4.4757,0.0,1.0,0.2313,0.2041
Z,5550001,5600000,5576355,353,143,2.5385,0.0775,0.9407,0.2171,0.0887
Z,5600001,5650000,5623334,322,116,1.3738,0.4583,0.4997,0.1192,0.0299
Z,5650001,5700000,5677180,438,190,2.9462,0.2031,0.871,0.3726,0.1064
Z,5700001,5750000,5725579,435,182,5.8365,1.0916,0.6849,0.527,0.1704
Z,5750001,5800000,5775319,401,217,2.8556,11.8914,-0.6127,-1.1357,-0.221
Z,5800001,5850000,5824927,353,143,4.0048,3.4224,0.0784,0.1056,0.0202
Z,5850001,5900000,5874900,492,242,5.517,2.3288,0.4064,0.2531,0.1128
Z,5900001,5950000,5927217,381,143,6.6319,0.4444,0.8744,0.3019,0.1295
Z,5950001,6000000,5975396,346,170,1.9703,0.6597,0.4983,0.0709,0.0284
Z,6000001,6050000,6026243,367,166,8.1595,1.1442,0.754,0.2378,0.1218
Z,6050001,6100000,6072314,418,169,4.6011,1.8441,0.4278,0.1644,0.0427
Z,6100001,6150000,6126238,365,143,9.1094,5.563,0.2417,0.2794,0.1069
Z,6150001,6200000,6174532,400,159,3.0043,4.6569,-0.2157,-0.2767,-0.0896
Z,6200001,6250000,6225515,293,87,2.5197,0.3777,0.7393,0.5426,0.1691
Z,6250001,6300000,6274504,399,166,5.352,1.4083,0.5834,0.4419,0.1836
Z,6300001,6350000,6325515,527,216,5.7394,3.2229,0.2808,0.1985,0.0596
Z,6350001,6400000,6374766,546,236,10.1913,1.0019,0.821,0.4633,0.2645
Z,6400001,6450000,6426316,490,205,7.7052,6.466,0.0874,0.1133,0.0239
Z,6450001,6500000,6474925,487,191,7.1979,6.6053,0.0429,0.0571,0.0234
Z,6500001,6550000,6525415,514,202,7.1162,6.3611,0.056,0.0464,0.0238
Z,6550001,6600000,6575046,588,211,1.9988,1.9233,0.0193,0.0101,0.0025
Z,6600001,6650000,6625049,539,186,5.5236,7.4817,-0.1506,-0.104,-0.0372
Z,6650001,6700000,6676264,514,184,21.1678,3.9784,0.6836,0.4678,0.2948
Z,6700001,6750000,6725622,666,189,27.4325,2.3048,0.845,0.5318,0.3175
Z,6750001,6800000,6774496,559,165,7.0355,4.0432,0.2701,0.0964,0.0589
Z,6800001,6850000,6822411,513,126,7.9432,1.5844,0.6674,0.4055,0.2297
Z,6850001,6900000,6877240,433,171,7.951,3.381,0.4033,0.2606,0.1398
Z,6900001,6950000,6923745,621,270,7.5825,2.9231,0.4435,0.2767,0.1208
Z,6950001,7000000,6975198,550,225,4.2335,5.8372,-0.1593,-0.0937,-0.032
Z,7000001,7050000,7026642,694,214,4.4017,11.5927,-0.4496,-0.7541,-0.1678
Z,7050001,7100000,7075372,576,194,14.0398,1.8141,0.7711,0.3115,0.2068
Z,7100001,7150000,7125015,815,284,19.908,3.5984,0.6938,0.2923,0.184
Z,7150001,7200000,7173291,644,192,19.2806,9.1346,0.3571,0.1444,0.1172
Z,7200001,7250000,7226349,636,233,11.9706,4.7045,0.4357,0.1427,0.0755
Z,7250001,7300000,7276278,746,308,10.93,10.3044,0.0295,0.015,0.0082
Z,7300001,7350000,7325518,747,262,13.2773,6.7094,0.3286,0.2988,0.1224
Z,7350001,7400000,7363350,312,94,3.3861,2.8563,0.0849,0.0692,0.0349
Z,7400001,7450000,7431437,336,157,24.3031,7.8698,0.5108,0.4417,0.3456
Z,7450001,7500000,7475238,601,189,8.2731,2.5787,0.5247,0.2453,0.1089
Z,7500001,7550000,7525349,570,276,15.1896,4.5521,0.5388,0.2438,0.179
Z,7550001,7600000,7574853,742,316,10.6516,2.3186,0.6425,0.3097,0.1267
Z,7600001,7650000,7627006,883,389,14.847,4.1336,0.5644,0.2353,0.1415
Z,7650001,7700000,7675572,1033,465,12.1564,9.5355,0.1208,0.0404,0.024
Z,7700001,7750000,7723695,950,369,6.0096,29.0831,-0.6575,-1.496,-0.2543
Z,7750001,7800000,7775867,697,225,2.6983,12.6677,-0.6488,-0.7313,-0.2114
Z,7800001,7850000,7823560,831,254,7.8822,18.7724,-0.4086,-0.3872,-0.1529
Z,7850001,7900000,7876106,913,325,5.3188,15.1428,-0.4801,-0.7642,-0.2097
Z,7900001,7950000,7923603,760,263,5.4869,18.3471,-0.5396,-0.9135,-0.32
Z,7950001,8000000,7975117,898,333,22.3546,9.7633,0.392,0.4356,0.2091
Z,8000001,8050000,8024520,792,318,14.6738,8.4228,0.2706,0.3356,0.07
Z,8050001,8100000,8075703,769,274,22.9584,4.6197,0.665,0.6574,0.3554
Z,8100001,8150000,8126064,920,273,30.3998,9.3417,0.5299,0.3039,0.2048
Z,8150001,8200000,8173896,925,296,25.9502,7.7266,0.5411,0.2512,0.1515
Z,8200001,8250000,8225439,1007,358,29.4728,5.3066,0.6948,0.3915,0.3182
Z,8250001,8300000,8274911,864,292,30.9471,6.267,0.6632,0.526,0.274
Z,8300001,8350000,8324458,828,250,10.0735,4.3327,0.3985,0.1766,0.0948
Z,8350001,8400000,8369384,524,153,2.5108,0.1695,0.8735,0.2252,0.0867
Z,8400001,8450000,8414762,323,28,0.795,0.4511,0.2759,0.6369,0.1475
Z,8450001,8500000,8478487,432,71,2.1461,1.4652,0.1885,0.0464,0.0344
Z,8500001,8550000,8526072,737,251,7.3822,5.555,0.1412,0.0605,0.0264
Z,8550001,8600000,8574067,790,289,16.2299,4.5996,0.5584,0.318,0.1476
Z,8600001,8650000,8626198,896,350,19.8518,6.3164,0.5172,0.2839,0.1695
Z,8650001,8700000,8674377,955,405,13.5229,13.7989,-0.0101,-0.0052,-0.0023
Z,8700001,8750000,8724999,794,276,13.7624,7.6624,0.2847,0.1164,0.064
Z,8750001,8800000,8773744,811,303,10.1074,8.9921,0.0584,0.025,0.0102
Z,8800001,8850000,8826635,671,201,7.7724,4.4228,0.2747,0.1498,0.0709
Z,8850001,8900000,8875218,921,317,14.3942,6.0241,0.4099,0.231,0.0914
Z,8900001,8950000,8926349,900,319,13.0326,3.944,0.5354,0.1934,0.12
Z,8950001,9000000,8973895,852,304,8.8767,4.4755,0.3296,0.0879,0.0464
Z,9000001,9050000,9023807,1143,499,22.139,1.9195,0.8404,0.2685,0.1226
Z,9050001,9100000,9072340,799,292,15.9387,5.6863,0.4741,0.2516,0.0946
Z,9100001,9150000,9128272,784,300,5.2082,15.7124,-0.5021,-0.313,-0.1258
Z,9150001,9200000,9174856,923,260,4.4633,8.5991,-0.3166,-0.093,-0.0466
Z,9200001,9250000,9223584,768,274,5.5475,5.0401,0.0479,0.0107,0.0047
Z,9250001,9300000,9276730,836,250,5.4228,2.5772,0.3557,0.1038,0.0298
Z,9300001,9350000,9326189,945,284,10.1572,7.6387,0.1415,0.0526,0.027
Z,9350001,9400000,9374230,827,291,2.4023,3.6962,-0.2122,-0.0571,-0.0212
Z,9400001,9450000,9424543,826,251,8.7901,0.0,1.0,0.1809,0.1772
Z,9450001,9500000,9476776,844,250,2.6204,10.022,-0.5855,-0.3835,-0.2066
Z,9500001,9550000,9525194,936,345,16.2391,4.55,0.5623,0.1548,0.0881
Z,9550001,9600000,9574043,783,260,7.3555,5.4697,0.147,0.0492,0.03
Z,9600001,9650000,9626493,746,219,5.6005,7.701,-0.1579,-0.0466,-0.0327
Z,9650001,9700000,9673492,775,177,0.1979,0.2102,-0.0303,0.3207,-0.0003
