scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,81550001,81600000,81576556,1010,286,11.6966,13.4595,-0.0701,-0.0296,-0.0232
Z,81600001,81650000,81624461,964,249,8.2088,11.144,-0.1517,-0.0723,-0.037
Z,81650001,81700000,81676490,917,245,8.3505,9.25,-0.0511,-0.0189,-0.0084
Z,81700001,81750000,81726240,1113,387,8.9013,15.1565,-0.26,-0.088,-0.0404
Z,81750001,81800000,81772658,1228,350,5.1655,23.2631,-0.6366,-0.3522,-0.1512
Z,81800001,81850000,81825837,1111,348,10.6542,14.9907,-0.1691,-0.0602,-0.0324
Z,81850001,81900000,81875712,1082,324,8.3852,24.9061,-0.4963,-0.2453,-0.1394
Z,81900001,81950000,81923838,1090,386,4.9198,12.4198,-0.4325,-0.1335,-0.0702
Z,81950001,82000000,81976256,1262,430,15.3948,19.6517,-0.1215,-0.054,-0.0303
Z,82000001,82050000,82025840,1076,368,8.454,12.3499,-0.1873,-0.0755,-0.0388
Z,82050001,82100000,82074711,1173,350,15.4913,19.9485,-0.1258,-0.0599,-0.0311
Z,82100001,82150000,82123626,1049,405,7.6568,20.4812,-0.4558,-0.1517,-0.0883
Z,82150001,82200000,82176038,1141,326,25.8646,7.8715,0.5333,0.2246,0.1288
Z,82200001,82250000,82220260,883,348,4.5325,38.2443,-0.7881,-1.53,-0.5136
Z,82250001,82300000,82251925,7,3,0.0,0.0,nan,nan,0.0
Z,82300001,82350000,82328762,745,300,2.7492,3.5524,-0.1275,-0.0637,-0.0334
Z,82350001,82400000,82373391,1087,447,4.2876,6.1599,-0.1792,-0.1225,-0.0644
Z,82400001,82450000,82421380,552,187,1.8056,5.3198,-0.4932,-0.5668,-0.2425
Z,82450001,82500000,82472498,741,286,2.3301,6.0724,-0.4454,-0.4607,-0.1465
Z,82500001,82550000,82520554,374,134,1.3826,1.7751,-0.1243,-0.0335,-0.027
