scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,55200001,55250000,55222879,764,307,3.028,6.9926,-0.3956,-0.162,-0.0662
Z,55250001,55300000,55276383,517,136,2.7016,8.3058,-0.5091,-0.2534,-0.1303
Z,55300001,55350000,55323551,668,195,1.7555,0.8323,0.3568,0.0327,0.0146
Z,55350001,55400000,55377690,489,142,1.8004,0.7695,0.4011,0.1051,0.0299
Z,55400001,55450000,55422670,494,158,0.607,1.4122,-0.3988,-0.1554,-0.0424
Z,55450001,55500000,55475013,543,154,2.0285,1.83,0.0515,0.0206,0.0084
Z,55500001,55550000,55522682,533,217,5.1955,3.7858,0.157,0.0425,0.0286
Z,55550001,55600000,55575720,424,135,6.6255,2.7675,0.4107,0.2934,0.1463
Z,55600001,55650000,55625650,629,246,4.7806,5.367,-0.0578,-0.0245,-0.0123
Z,55650001,55700000,55674632,730,265,5.9283,6.7367,-0.0638,-0.0137,-0.0079
Z,55700001,55750000,55724634,674,211,7.9329,4.6968,0.2562,0.0422,0.0332
Z,55750001,55800000,55773936,898,315,6.5733,7.9128,-0.0925,-0.0224,-0.0147
Z,55800001,55850000,55823560,672,237,3.9506,3.3708,0.0792,0.0141,0.0101
Z,55850001,55900000,55875677,718,193,1.1466,0.9846,0.076,0.0048,0.0026
Z,55900001,55950000,55926090,817,240,4.9892,8.3673,-0.2529,-0.1002,-0.0415
Z,55950001,56000000,55972669,679,190,1.6898,4.7774,-0.4774,-0.1185,-0.0629
Z,56000001,56050000,56025228,690,225,4.1534,1.956,0.3597,0.0474,0.0361
Z,56050001,56100000,56073920,658,214,9.6512,7.1181,0.1511,0.0831,0.0512
Z,56100001,56150000,56125346,714,220,0.8313,32.8683,-0.9507,-1.733,-0.3858
Z,56150001,56200000,56151077,44,11,0.0463,0.2315,-0.6667,-0.2034,-0.0987
Z,56200001,56250000,56229529,813,158,1.0,4.1019,-0.608,-0.1515,-0.0916
Z,56250001,56300000,56276789,725,296,12.1074,18.4061,-0.2064,-0.0657,-0.0476
Z,56300001,56350000,56324164,697,237,7.5378,15.672,-0.3505,-0.1138,-0.0804
Z,56350001,56400000,56374091,747,231,2.9495,2.9012,0.0082,0.0028,0.0017
Z,56400001,56450000,56423534,920,296,3.5951,1.5919,0.3862,0.0817,0.064
Z,56450001,56500000,56475253,1060,365,6.0183,7.499,-0.1095,-0.0723,-0.0339
Z,56500001,56550000,56526781,1073,419,4.0499,8.894,-0.3742,-0.1558,-0.0771
Z,56550001,56600000,56573425,864,310,3.5084,1.8929,0.2991,0.0849,0.0408
Z,56600001,56650000,56626587,864,310,4.3862,5.4997,-0.1126,-0.0896,-0.0239
Z,56650001,56700000,56676060,950,326,3.4066,5.8877,-0.2669,-0.2328,-0.0677
Z,56700001,56750000,56725431,867,314,3.3151,6.7973,-0.3444,-0.1709,-0.0478
Z,56750001,56800000,56775252,836,229,9.2975,1.6791,0.6941,0.141,0.1095
Z,56800001,56850000,56824719,886,283,3.6077,2.3796,0.2051,0.0298,0.0196
Z,56850001,56900000,56874370,776,312,11.7021,8.1543,0.1787,0.0991,0.054
Z,56900001,56950000,56923045,601,149,7.912,0.2623,0.9358,0.2229,0.172
Z,56950001,57000000,56973265,728,247,6.2243,5.446,0.0667,0.0395,0.0141
Z,57000001,57050000,57022986,634,254,3.7887,6.812,-0.2852,-0.1146,-0.0422
Z,57050001,57100000,57073554,672,341,8.6953,13.0889,-0.2017,-0.0803,-0.0424
Z,57100001,57150000,57123676,810,349,11.6894,18.5296,-0.2264,-0.1551,-0.0716
Z,57150001,57200000,57175263,739,345,3.1888,10.6153,-0.538,-0.2221,-0.1126
Z,57200001,57250000,57222336,923,341,4.5162,8.1854,-0.2889,-0.0937,-0.047
Z,57250001,57300000,57273764,880,316,13.6008,8.3844,0.2373,0.0931,0.0562
Z,57300001,57350000,57325766,752,253,6.7227,4.2806,0.2219,0.0567,0.0398
Z,57350001,57400000,57375500,843,248,2.3809,4.8934,-0.3454,-0.2174,-0.098
Z,57400001,57450000,57424698,711,184,1.8097,13.0464,-0.7564,-1.2138,-0.3758
Z,57450001,57500000,57474670,698,212,6.302,4.1368,0.2074,0.0898,0.0462
Z,57500001,57550000,57527854,688,202,4.6962,2.4413,0.3159,0.1118,0.0546
Z,57550001,57600000,57574629,901,255,27.1175,2.0501,0.8594,0.4483,0.4217
Z,57600001,57650000,57624580,888,248,16.0281,20.6543,-0.1261,-0.066,-0.0434
Z,57650001,57700000,57676497,1029,314,23.1263,33.2503,-0.1796,-0.1336,-0.081
Z,57700001,57750000,57725061,979,345,7.8902,16.0705,-0.3414,-0.098,-0.0728
Z,57750001,57800000,57774090,835,323,5.3445,12.6568,-0.4062,-0.1668,-0.0922
Z,57800001,57850000,57826391,900,369,7.1818,10.6074,-0.1926,-0.075,-0.05
Z,57850001,57900000,57871452,707,285,4.592,28.1374,-0.7194,-1.5159,-0.341
Z,57900001,57950000,57926419,569,204,10.3326,6.8358,0.2037,0.1111,0.0754
Z,57950001,58000000,57973813,513,118,4.0741,0.7704,0.6819,0.2184,0.187
Z,58000001,58050000,58024665,517,162,3.2907,1.3237,0.4263,0.1143,0.1013
Z,58050001,58100000,58071386,441,126,9.0808,0.617,0.8727,0.3532,0.3476
Z,58100001,58150000,58129097,511,232,11.7284,3.6166,0.5286,0.3139,0.2047
Z,58150001,58200000,58174394,534,155,14.6073,0.5004,0.9338,0.3289,0.2996
Z,58200001,58250000,58223375,368,98,1.0628,0.9902,0.0353,0.0046,0.0038
Z,58250001,58300000,58277718,583,241,1.0463,6.3988,-0.7189,-0.1406,-0.0777
Z,58300001,58350000,58323496,637,172,1.6069,1.8733,-0.0766,-0.007,-0.0045
Z,58350001,58400000,58376928,691,141,1.3893,0.0,1.0,0.0611,0.0406
Z,58400001,58450000,58423061,608,207,1.8082,4.9223,-0.4627,-0.0754,-0.0443
Z,58450001,58500000,58474326,691,267,8.4671,4.5731,0.2986,0.0569,0.0431
Z,58500001,58550000,58522842,668,249,6.571,4.7168,0.1643,0.0325,0.0237
Z,58550001,58600000,58573425,607,193,2.514,6.2468,-0.4261,-0.1507,-0.089
Z,58600001,58650000,58623300,526,173,2.537,2.8937,-0.0657,-0.0113,-0.0089
Z,58650001,58700000,58675361,476,121,1.1667,2.0432,-0.2731,-0.0224,-0.0185
Z,58700001,58750000,58724311,387,130,8.642,0.0,1.0,0.2035,0.1997
Z,58750001,58800000,58775296,474,162,2.5965,0.5046,0.6745,0.1045,0.0984
Z,58800001,58850000,58825045,415,163,2.3009,0.8708,0.4509,0.0554,0.0502
Z,58850001,58900000,58878115,558,172,0.183,5.0434,-0.93,-0.8233,-0.1821
Z,58900001,58950000,58925614,817,194,3.1867,0.6223,0.6733,0.1363,0.1155
Z,58950001,59000000,58969112,556,127,1.5401,0.343,0.6357,0.1321,0.1153
Z,59000001,59050000,59024612,442,111,1.0332,0.1677,0.7207,0.057,0.0464
Z,59050001,59100000,59076823,538,199,2.767,1.8781,0.1914,0.0262,0.0148
Z,59100001,59150000,59126909,419,193,2.6358,1.8765,0.1683,0.0245,0.0201
Z,59150001,59200000,59176706,573,179,2.463,1.858,0.14,0.0194,0.0113
Z,59200001,59250000,59224694,483,82,0.2859,0.7049,-0.4229,-0.0329,-0.017
Z,59250001,59300000,59277479,576,132,0.7778,0.1065,0.7592,0.0805,0.0512
Z,59300001,59350000,59325549,579,183,18.1151,1.2566,0.8703,0.3876,0.2662
Z,59350001,59400000,59375239,519,198,13.9628,0.1265,0.982,0.4533,0.346
Z,59400001,59450000,59424105,485,162,9.9676,3.3349,0.4986,0.2483,0.1107
Z,59450001,59500000,59476974,655,294,15.6834,3.6459,0.6228,0.2603,0.1544
Z,59500001,59550000,59524350,775,272,6.9823,11.7183,-0.2533,-0.1252,-0.0705
Z,59550001,59600000,59574597,655,234,4.6024,2.5103,0.2941,0.0515,0.0374
Z,59600001,59650000,59624746,692,258,5.0584,2.5642,0.3272,0.0575,0.0473
Z,59650001,59700000,59674109,606,168,2.2894,5.8688,-0.4388,-0.0594,-0.0505
Z,59700001,59750000,59725406,740,182,2.704,9.6004,-0.5605,-0.1082,-0.0746
Z,59750001,59800000,59774172,516,183,0.0,18.7234,-1.0,-0.9667,-0.2852
Z,59800001,59850000,59825869,620,148,9.2158,5.7822,0.2289,0.0743,0.0558
Z,59850001,59900000,59874434,638,182,4.8173,14.0458,-0.4892,-0.3847,-0.1242
Z,59900001,59950000,59927158,747,169,4.8967,8.2528,-0.2552,-0.053,-0.041
Z,59950001,60000000,59971864,746,211,2.0432,14.1068,-0.747,-0.2443,-0.1313
Z,60000001,60050000,60026561,450,145,1.6678,1.0428,0.2306,0.0154,0.0076
Z,60050001,60100000,60071518,417,78,0.0,1.4468,-1.0,-0.0985,-0.0618
Z,60100001,60150000,60127334,348,60,0.0,0.6019,-1.0,-0.0287,-0.0239
Z,60150001,60200000,60177210,482,119,9.2262,0.8241,0.836,0.3325,0.2422
Z,60200001,60250000,60226304,515,171,15.3623,2.1979,0.7497,0.454,0.1949
Z,60250001,60300000,60273758,429,158,0.3698,4.739,-0.8552,-0.1339,-0.0909
Z,60300001,60350000,60326543,422,136,2.1667,9.5428,-0.6299,-0.2339,-0.1305
Z,60350001,60400000,60375996,472,214,0.5926,5.9702,-0.8194,-0.265,-0.0938
Z,60400001,60450000,60423815,484,183,1.8333,5.3642,-0.4906,-0.1164,-0.062
Z,60450001,60500000,60475092,389,132,9.2215,2.8153,0.5322,0.1449,0.1037
Z,60500001,60550000,60522724,441,126,0.0,3.0093,-1.0,-0.2381,-0.1009
Z,60550001,60600000,60576838,481,149,0.1091,3.6216,-0.9415,-0.2546,-0.0868
Z,60600001,60650000,60624997,474,138,5.9537,1.7204,0.5516,0.2486,0.1876
Z,60650001,60700000,60674894,797,237,5.4537,8.0519,-0.1924,-0.0729,-0.0373
Z,60700001,60750000,60722905,710,189,3.1763,6.8584,-0.3669,-0.1168,-0.0609
Z,60750001,60800000,60776126,811,261,7.69,9.2831,-0.0939,-0.0571,-0.0284
Z,60800001,60850000,60825102,794,225,1.8117,5.0152,-0.4692,-0.1574,-0.11
Z,60850001,60900000,60875869,827,262,2.8516,5.7454,-0.3366,-0.0577,-0.041
Z,60900001,60950000,60925974,930,175,0.8024,0.0,1.0,0.0595,0.0595
Z,60950001,61000000,60975847,833,203,0.6188,1.1788,-0.3115,-0.0297,-0.0256
