scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,80750001,80800000,80773262,1593,766,13.5257,11.5532,0.0787,0.0501,0.032
Z,80800001,80850000,80825260,1864,933,9.9082,16.9863,-0.2632,-0.1473,-0.0965
Z,80850001,80900000,80872399,1770,894,10.4257,18.5176,-0.2796,-0.2013,-0.1135
Z,80900001,80950000,80920197,911,402,5.5601,6.3458,-0.066,-0.0327,-0.0232
Z,80950001,81000000,80973228,1546,753,8.2891,10.2291,-0.1048,-0.0526,-0.0345
Z,81000001,81050000,81024516,1462,714,9.6603,14.6114,-0.204,-0.1232,-0.0801
Z,81050001,81100000,81074267,1729,871,10.796,13.6044,-0.1151,-0.0681,-0.0418
Z,81100001,81150000,81122753,1444,652,9.1605,14.7524,-0.2338,-0.1045,-0.0685
Z,81150001,81200000,81174492,1121,431,15.326,15.8249,-0.016,-0.0074,-0.0052
Z,81200001,81250000,81224602,1140,400,13.9648,11.9857,0.0763,0.0267,0.0191
Z,81250001,81300000,81274925,1051,367,9.9279,8.4329,0.0814,0.0223,0.0157
Z,81300001,81350000,81325236,1127,309,17.491,11.7346,0.197,0.0883,0.0553
Z,81350001,81400000,81375253,1073,344,47.4178,4.0836,0.8414,0.5763,0.4433
Z,81400001,81450000,81424257,1128,387,8.919,11.6227,-0.1316,-0.0306,-0.0228
Z,81450001,81500000,81474415,1117,364,11.919,12.4298,-0.021,-0.0055,-0.004
Z,81500001,81550000,81524855,966,294,21.0244,7.6292,0.4675,0.1339,0.0992
Z,81550001,81600000,81576556,1010,287,13.2605,9.2701,0.1771,0.0818,0.054
Z,81600001,81650000,81624461,964,249,10.2966,6.0882,0.2568,0.0736,0.056
Z,81650001,81700000,81676490,917,245,6.75,13.6671,-0.3388,-0.088,-0.063
Z,81700001,81750000,81726240,1113,407,14.9605,13.721,0.0432,0.0099,0.0081
Z,81750001,81800000,81772658,1228,356,23.3067,5.8467,0.5989,0.2374,0.1684
Z,81800001,81850000,81825837,1111,365,12.3853,15.3683,-0.1075,-0.0323,-0.0245
Z,81850001,81900000,81875712,1082,360,14.3778,6.8066,0.3574,0.1048,0.076
Z,81900001,81950000,81923838,1090,395,13.2165,7.0786,0.3024,0.0899,0.0691
Z,81950001,82000000,81976256,1262,442,21.6541,5.8301,0.5757,0.1743,0.1426
Z,82000001,82050000,82025840,1076,373,12.0214,6.2962,0.3126,0.0765,0.06
Z,82050001,82100000,82074711,1173,349,19.0392,18.4679,0.0152,0.005,0.004
Z,82100001,82150000,82123626,1049,409,20.0005,9.4778,0.357,0.094,0.0753
Z,82150001,82200000,82176038,1141,326,7.8854,11.4812,-0.1857,-0.0392,-0.0291
Z,82200001,82250000,82220260,883,366,38.5136,3.8056,0.8201,0.6402,0.5415
Z,82250001,82300000,82251925,7,4,0.0,0.0,nan,0.0,0.0
Z,82300001,82350000,82328762,745,363,5.5613,6.2911,-0.0616,-0.039,-0.0293
Z,82350001,82400000,82373391,1087,533,7.1811,9.8422,-0.1563,-0.1448,-0.0855
Z,82400001,82450000,82421380,552,260,5.13,4.4326,0.0729,0.062,0.0401
Z,82450001,82500000,82472498,741,349,8.4545,6.534,0.1281,0.0907,0.0667
Z,82500001,82550000,82520554,374,167,3.2525,2.2075,0.1914,0.0763,0.0644
